model_key	ModelGroup	DefaultDataset	CkptDate	CkptSizeGB	CkptExists	Share
EE-MultiHead	BorzoiMultihead	EE	250718	0.7	yes	
HumanBrainDev-MultiHead	BorzoiMultihead	HumanBrainDev	250718	0.7	yes	
Li2023Science+Exc-MultiHead	BorzoiMultihead	Li2023Science	250718	0.7	yes	
Li2023Science+NonN-MultiHead	BorzoiMultihead	Li2023Science	250718	0.8	yes	
MouseAging-MultiHead	BorzoiMultihead	MouseAging	250718	0.7	yes	
MultiSpeciesMacaque-MultiHead	BorzoiMultihead	MultiSpeciesMacaque	250718	0.7	yes	
MultiSpeciesMarmoset-MultiHead	BorzoiMultihead	MultiSpeciesMarmoset	250718	0.7	yes	
Zhang2021Cell-MultiHead	BorzoiMultihead	Zhang2021Cell	250718	0.8	yes	
Zu2023Nature+CTXGlut-MultiHead	BorzoiMultihead	Zu2023Nature	250718	0.8	yes	
Zu2023Nature+NonN-MultiHead	BorzoiMultihead	Zu2023Nature	250718	0.8	yes	
EE+AP1	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+AP1-Gene	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+JASPAR306	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+JASPAR306-Gene	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+Control+AP1	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+Control+AP1-Gene	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+Control+JASPAR306	BorzoiSignalMultiDS	EE	251103	12.1	yes	
EE+Control+JASPAR306-Gene	BorzoiSignalMultiDS	EE	251103	12.1	yes	
Unscaled-EE+Control+AP1	BorzoiSignalMultiDS	EE	251103	12.1	yes	
Unscaled-EE+AP1	BorzoiSignalMultiDS	EE	251103	12.1	yes	
Unscaled-EE+Control+JASPAR306	BorzoiSignalMultiDS	EE	251103	12.1	yes	
Unscaled-EE+JASPAR306	BorzoiSignalMultiDS	EE	251103	12.1	yes	
Fear+AP1	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+AP1-Gene	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+JASPAR306	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+JASPAR306-Gene	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+Control+AP1	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+Control+AP1-Gene	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+Control+JASPAR306	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Fear+Control+JASPAR306-Gene	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Unscaled-Fear+Control+AP1	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Unscaled-Fear+AP1	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Unscaled-Fear+Control+JASPAR306	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
Unscaled-Fear+JASPAR306	BorzoiSignalMultiDS	Fear	251103	12.1	yes	
