motif_id	motif_cluster	motif_name	motif_cluster_name
MA0658.2	0	LHX6	HOX-Homeobox
MA1519.2	0	LHX5	HOX-Homeobox
MA0068.2	0	PAX4	HOX-Homeobox
MA1577.2	0	TLX2	HOX-Homeobox
MA0135.2	0	Lhx3	HOX-Homeobox
MA0681.3	0	PHOX2B	HOX-Homeobox
MA0902.3	0	HOXB2	HOX-Homeobox
MA1481.2	0	DRGX	HOX-Homeobox
MA0896.2	0	Hmx1	HOX-Homeobox
MA1504.2	0	HOXC4	HOX-Homeobox
MA0880.2	0	Dlx3	HOX-Homeobox
MA0881.2	0	Dlx4	HOX-Homeobox
MA0874.2	0	Arx	HOX-Homeobox
MA0854.2	0	Alx1	HOX-Homeobox
MA0644.3	0	ESX1	HOX-Homeobox
MA1530.2	0	NKX6-3	HOX-Homeobox
MA1495.2	0	HOXA1	HOX-Homeobox
MA0700.3	0	LHX2	HOX-Homeobox
MA1549.2	0	POU6F1	HOX-Homeobox
MA0791.2	0	POU4F3	HOX-Homeobox
MA0893.3	0	GSX2	HOX-Homeobox
MA0634.2	0	ALX3	HOX-Homeobox
MA0894.2	0	HESX1	HOX-Homeobox
MA1502.2	0	HOXB8	HOX-Homeobox
MA0703.3	0	LMX1B	HOX-Homeobox
MA1476.3	0	Dlx5	HOX-Homeobox
MA0701.3	0	LHX9	HOX-Homeobox
MA0790.2	0	POU4F1	HOX-Homeobox
MA1496.2	0	HOXA4	HOX-Homeobox
MA0611.3	0	Dux	HOX-Homeobox
MA1499.2	0	HOXB4	HOX-Homeobox
MA0885.3	0	Dlx2	HOX-Homeobox
MA1497.2	0	HOXA6	HOX-Homeobox
MA0706.2	0	MEOX2	HOX-Homeobox
MA0879.3	0	DLX1	HOX-Homeobox
MA0900.3	0	HOXA2	HOX-Homeobox
MA0612.3	0	EMX1	HOX-Homeobox
MA0132.3	0	PDX1	HOX-Homeobox
MA0630.2	0	SHOX	HOX-Homeobox
MA2093.1	0	HOXB1	HOX-Homeobox
MA0027.3	0	EN1	HOX-Homeobox
MA0621.2	0	mix-a	HOX-Homeobox
MA0721.2	0	UNCX	HOX-Homeobox
MA0876.2	0	BSX	HOX-Homeobox
MA0912.2	0	HOXD3	HOX-Homeobox
MA0707.3	0	MNX1	HOX-Homeobox
MA0722.2	0	VAX1	HOX-Homeobox
MA0723.3	0	VAX2	HOX-Homeobox
MA1507.2	0	HOXD4	HOX-Homeobox
MA0675.2	0	NKX6-2	HOX-Homeobox
MA0654.2	0	ISX	HOX-Homeobox
MA0720.2	0	Shox2	HOX-Homeobox
MA1505.2	0	HOXC8	HOX-Homeobox
MA0904.3	0	HOXB5	HOX-Homeobox
MA0725.2	0	VSX1	HOX-Homeobox
MA1500.2	0	HOXB6	HOX-Homeobox
MA0884.2	0	DUXA	HOX-Homeobox
MA0903.2	0	HOXB3	HOX-Homeobox
MA0726.2	0	VSX2	HOX-Homeobox
MA0890.2	0	GBX2	HOX-Homeobox
MA0713.1	0	PHOX2A	HOX-Homeobox
MA0718.2	0	RAX	HOX-Homeobox
MA0705.2	0	Lhx8	HOX-Homeobox
MA0875.2	0	BARX1	HOX-Homeobox
MA0853.2	0	Alx4	HOX-Homeobox
MA1498.3	0	HOXA7	HOX-Homeobox
MA0898.2	0	Hmx3	HOX-Homeobox
MA0889.2	0	GBX1	HOX-Homeobox
MA0886.2	0	EMX2	HOX-Homeobox
MA0708.3	0	MSX2	HOX-Homeobox
MA0158.2	0	HOXA5	HOX-Homeobox
MA0628.2	0	POU6F1	HOX-Homeobox
MA0075.4	0	PRRX2	HOX-Homeobox
MA0716.2	0	PRRX1	HOX-Homeobox
MA0680.3	0	Pax7	HOX-Homeobox
MA0793.2	0	POU6F2	HOX-Homeobox
MA0702.3	0	LMX1A	HOX-Homeobox
MA0125.2	0	Nobox	HOX-Homeobox
MA0709.2	0	Msx3	HOX-Homeobox
MA1463.2	0	ARGFX	HOX-Homeobox
MA0683.2	0	POU4F2	HOX-Homeobox
MA0910.3	0	HOXD8	HOX-Homeobox
MA0704.2	0	Lhx4	HOX-Homeobox
MA0715.1	0	PROP1	HOX-Homeobox
MA0674.2	0	NKX6-1	HOX-Homeobox
MA0724.1	0	VENTX	HOX-Homeobox
MA0888.2	0	EVX2	HOX-Homeobox
MA0717.2	0	RAX2	HOX-Homeobox
MA0661.2	0	MEOX1	HOX-Homeobox
MA0666.3	0	MSX1	HOX-Homeobox
MA0662.2	0	MIXL1	HOX-Homeobox
MA1471.2	0	BARX2	HOX-Homeobox
MA0887.2	0	EVX1	HOX-Homeobox
MA2119.1	0	HOXA3	HOX-Homeobox
