dataset	DatasetLink	study_group	species	technology	life_state	tissue	genome	n_total_cells	n_major_cell_types	n_cell_types	conditions	cell_metadata	sample_metadata	fragment_files	snap_files	n_dataset_peaks	peaks	peak_size	per_group_peaks	peak_source	peak_adata	gene_adata
Zu2023Nature	Catlas	WBA	Mouse	snATAC	Adult	Whole Brain	mm10	2,355,842	242	242	NA	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/Zu2023Nature.CellMetadata.feather	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/CEMBARegionMetadata.csv	gs://hms-hanqing-wmb/Zu2023Nature/Cutsites/chunk_*/fragments	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/adata_per_sample	1053811	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/peaks/brain_cCREs_mm10.bed.gz	500	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/peak_bed	From publication	/large_storage/zhoulab/hanliu/wmb/Zu2023Nature/peak_adata_per_sample	NA
Li2023Science	Catlas	WBA	Human	snATAC	Adult	Whole Brain	hg38	1,136,505	108	108	NA	/large_storage/zhoulab/hanliu/wmb/Li2023Science/meta/Li2023Science.CellMetadata.feather	/large_storage/zhoulab/hanliu/wmb/Li2023Science/meta/Li2023Science.SampleMetadata.feather	gs://hms-hanqing-wmb/Li2023Science/fragments	/large_storage/zhoulab/hanliu/wmb/Li2023Science/adata	544735	/large_storage/zhoulab/hanliu/wmb/Li2023Science/peaks/cCREs.bed.gz	500	/large_storage/zhoulab/hanliu/wmb/Li2023Science/peaks/per_ct	From publication	/large_storage/zhoulab/hanliu/wmb/Li2023Science/peak_adata	NA
EE	Local	Activity	Mouse	10X Multiome	Adult	HIP	mm10	85,104	15	34	3	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/EE.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/EE.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/ActivityDatasetsEE/	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/fragments	436536	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/peaks/EEDataset.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/peaks/macs3_peaks.joblib.gz	snapatac2.macs3 on major class	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/peak_adata	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/EE/EE.rna_raw_counts.h5ad
KA	Local	Activity	Mouse	10X Multiome	Adult	HIP	mm10	28,435	14	35	2	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/KA.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/KA.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/ActivityDatasetsKA/	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/fragments	494258	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/peaks/KADataset.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/peaks/macs3_peaks.joblib.gz	snapatac2.macs3 on major class	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/peak_adata	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/KA/KA.rna_raw_counts.h5ad
Torpor	Local	Activity	Mouse	10X Multiome	Adult	POA	mm10	47,644	50	50	3	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/Torpor.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/Torpor.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/ActivityDatasetsTorpor/	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/fragments	341672	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/peaks/TorporDataset.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/peaks/macs3_peaks.joblib.gz	snapatac2.macs3 on major class	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/peak_adata	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Torpor/Torpor.rna_raw_counts.h5ad
Fear	Local	Activity	Mouse	10X Multiome	Adult	HIP	mm10	123,938	15	36	6	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/Fear.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/Fear.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/ActivityDatasetsFear/	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/fragments	507956	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/peaks/FearDataset.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/peaks/macs3_peaks.joblib.gz	snapatac2.macs3 on major class	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/peak_adata	/large_storage/zhoulab/hanliu/wmb/ActivityDatasets/Fear/Fear.rna_raw_counts.h5ad
Stress	GSE292240	Activity	Mouse	10X Multiome	Adult	HIP	mm10	159,393	14	36	4	/large_storage/zhoulab/hanliu/wmb/Stress/Stress.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/Stress/raw/sample_metadata.txt	Not saved, downloaded from GEO	/large_storage/zhoulab/hanliu/wmb/Stress/fragments	894125	/large_storage/zhoulab/hanliu/wmb/Stress/Stress.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/Stress/macs3_peaks.joblib.gz	snapatac2.macs3 on subclass and condition	/large_storage/zhoulab/hanliu/wmb/Stress/peak_adata	/large_storage/zhoulab/hanliu/wmb/Stress/Stress.total_pass_qc_cell.rna_raw_counts.h5ad
MultipleSclerosis	GSE250589	Activity	Mouse	10X Multiome	Adult	SpinalCordGlia	mm10	131,881	9	24	4	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/MultipleSclerosis.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/raw/sample_metadata.csv	Not saved, downloaded from GEO	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/fragments	351279	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/MultipleSclerosis.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/macs3_peaks.joblib.gz	snapatac2.macs3 on subclass and condition	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/peak_adata	/large_storage/zhoulab/hanliu/wmb/MultipleSclerosis/MultipleSclerosis.total_pass_qc_cell.rna_raw_counts.h5ad
AIBSDev	NeMO Multiloc	Dev	Mouse	10X Multiome	Dev	VIS	mm10	194,545	14	38	15	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/AIBSDev.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/AIBSDev.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/AIBS_MULTI	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/bic*_data/atac/*/*.h5ad	1173273	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/AIBSDev.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/macs3_peaks.joblib.gz	snapatac2.macs3 on subclass+roi+age	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/peak_adata	/large_storage/zhoulab/hanliu/wmb/AIBS_MULTI/dev_vis/AIBSDev.rna_raw_counts.h5ad
Harris2025Nature	Local	Dev	Mouse	10X Multiome	Dev	POA	mm10	173,188	19	147	9	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/Harris2025Nature.combined_cell_annot.feather	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/Harris2025Nature.combined_cell_annot.feather	gs://hms-hanqing-wmb/Harris2025Nature	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/fragments	855455	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/Harris2025Nature.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/macs3_peaks.joblib.gz	snapatac2.macs3 on cell_type	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/peak_adata	/large_storage/zhoulab/hanliu/wmb/Harris2025Nature/Harris2025Nature.RNA_with_annot.h5ad
